,cut,color,clarity,depth,table,x,y,z,carat,price
115,4,5,3,62.7,53.0,5.8,5.75,3.62,0.73,2762
116,3,5,1,61.7,58.0,5.98,5.94,3.68,0.8,2762
117,4,6,3,62.4,54.0,5.72,5.76,3.58,0.71,2762
118,4,4,3,60.7,58.0,5.73,5.76,3.49,0.7,2762
119,4,5,1,59.9,59.0,6.01,6.07,3.62,0.8,2762
120,4,3,1,62.3,56.0,5.73,5.69,3.56,0.71,2762
121,4,4,2,62.3,54.0,5.8,5.83,3.62,0.74,2762
122,2,5,3,61.7,63.0,5.64,5.61,3.47,0.7,2762
123,0,5,3,64.5,57.0,5.57,5.53,3.58,0.7,2762
124,0,5,3,65.3,55.0,5.63,5.58,3.66,0.7,2762
125,3,5,3,61.6,60.0,5.65,5.59,3.46,0.7,2762
126,3,7,2,61.4,56.0,6.09,5.97,3.7,0.91,2763
127,2,3,5,59.6,57.0,5.56,5.58,3.32,0.61,2763
128,0,7,1,64.4,57.0,6.11,6.09,3.93,0.91,2763
129,0,7,1,65.7,60.0,6.03,5.99,3.95,0.91,2763
130,4,7,3,62.0,56.0,5.89,5.86,3.64,0.77,2763
131,2,3,2,63.6,58.0,5.64,5.68,3.6,0.71,2764
132,4,3,2,61.9,59.0,5.69,5.72,3.53,0.71,2764
133,2,4,3,62.6,60.0,5.62,5.65,3.53,0.7,2765
134,2,7,4,61.3,60.0,5.88,5.9,3.61,0.77,2765
135,3,4,6,60.9,60.0,5.52,5.55,3.37,0.63,2765
136,2,5,4,60.1,62.0,5.74,5.77,3.46,0.71,2765
137,3,5,4,61.8,59.0,5.69,5.73,3.53,0.71,2765
138,4,7,2,61.2,57.0,5.88,5.91,3.61,0.76,2765
139,4,6,6,61.9,56.0,5.53,5.56,3.43,0.64,2766
140,3,6,3,60.9,57.0,5.78,5.75,3.51,0.71,2766
141,3,6,3,59.8,56.0,5.89,5.81,3.5,0.71,2766
142,2,3,3,61.8,55.0,5.68,5.72,3.52,0.7,2767
143,2,5,4,60.0,57.0,5.8,5.87,3.5,0.7,2767
144,4,3,1,61.6,55.0,5.74,5.76,3.54,0.71,2767
145,1,7,5,62.1,64.0,5.62,5.65,3.5,0.7,2767
146,2,6,4,63.3,59.0,5.52,5.61,3.52,0.71,2768
147,2,3,2,60.2,56.0,5.83,5.87,3.52,0.73,2768
148,2,3,2,61.1,58.0,5.66,5.73,3.48,0.7,2768
149,4,4,2,60.9,57.0,5.73,5.76,3.5,0.7,2768
150,3,3,1,61.7,59.0,5.71,5.67,3.51,0.71,2768
151,4,8,2,61.3,56.0,5.82,5.86,3.57,0.74,2769
152,3,3,3,62.5,60.0,5.65,5.61,3.52,0.71,2770
153,3,6,3,61.4,59.0,5.83,5.76,3.56,0.73,2770
154,2,5,2,62.9,57.0,5.79,5.81,3.65,0.76,2770
155,4,3,1,62.4,57.0,5.78,5.83,3.62,0.76,2770
156,4,5,2,60.7,56.0,5.77,5.8,3.51,0.71,2770
157,3,6,3,60.7,58.0,5.87,5.82,3.55,0.73,2770
158,3,6,4,61.5,58.0,5.79,5.75,3.55,0.73,2770
159,4,3,1,59.9,57.0,5.92,5.89,3.54,0.73,2770
160,3,6,3,59.2,59.0,5.92,5.87,3.49,0.73,2770
161,2,7,5,60.3,56.0,5.81,5.83,3.51,0.72,2771
162,2,5,2,61.7,60.0,5.79,5.82,3.58,0.73,2771
163,4,6,3,61.9,57.0,5.73,5.77,3.56,0.71,2771
164,4,5,1,61.9,55.0,5.97,5.92,3.68,0.79,2771
165,2,7,6,60.4,59.0,5.83,5.89,3.54,0.73,2772
166,2,5,1,61.0,57.0,6.01,6.03,3.67,0.8,2772
167,4,6,6,61.5,55.0,5.39,5.44,3.33,0.58,2772
168,4,5,6,61.7,56.0,5.33,5.37,3.3,0.58,2772
169,1,4,3,59.2,61.0,5.8,5.88,3.46,0.71,2772
170,4,3,1,61.3,56.0,5.85,5.89,3.6,0.75,2773
171,3,3,3,58.0,62.0,5.87,5.78,3.38,0.7,2773
172,2,9,0,60.2,61.0,6.83,6.9,4.13,1.17,2774
173,4,4,4,61.7,55.0,5.41,5.44,3.35,0.6,2774
174,4,4,2,62.7,55.0,5.68,5.74,3.58,0.7,2774
175,1,8,3,64.6,54.0,5.85,5.88,3.79,0.83,2774
176,2,5,3,61.3,61.0,5.8,5.84,3.57,0.74,2775
177,2,6,3,63.7,56.4,5.62,5.69,3.61,0.72,2776
178,3,4,3,62.7,58.0,5.74,5.68,3.58,0.71,2776
179,4,4,3,62.2,57.0,5.79,5.62,3.55,0.71,2776
180,4,4,5,61.6,56.0,5.25,5.27,3.24,0.54,2776
181,4,4,5,61.5,57.0,5.24,5.26,3.23,0.54,2776
182,4,6,2,61.8,56.0,5.72,5.75,3.55,0.72,2776
183,4,6,2,60.7,56.0,5.79,5.82,3.53,0.72,2776
184,1,6,3,59.7,60.5,5.8,5.84,3.47,0.72,2776
185,4,6,2,60.5,56.0,5.8,5.76,3.5,0.71,2776
186,2,3,4,62.7,58.0,5.66,5.73,3.57,0.7,2777
187,3,5,3,62.1,58.0,5.67,5.7,3.53,0.71,2777
188,2,5,3,62.8,57.0,5.64,5.69,3.56,0.71,2777
189,1,5,3,63.8,58.0,5.61,5.64,3.59,0.71,2777
190,1,5,3,57.8,60.0,5.87,5.9,3.4,0.71,2777
191,4,4,3,62.1,55.0,5.7,5.67,3.53,0.7,2777
192,3,4,3,61.1,60.0,5.71,5.64,3.47,0.7,2777
193,3,4,2,60.0,59.0,5.79,5.75,3.46,0.7,2777
194,3,4,2,61.2,57.0,5.73,5.68,3.49,0.7,2777
195,3,4,2,62.7,59.0,5.67,5.63,3.54,0.7,2777
196,3,4,2,61.0,57.0,5.73,5.68,3.48,0.7,2777
197,3,4,2,61.0,58.0,5.78,5.72,3.51,0.7,2777
198,4,4,2,61.4,57.0,5.76,5.7,3.52,0.7,2777
199,3,5,2,61.8,61.0,5.82,5.71,3.56,0.72,2777
200,2,4,2,59.9,63.0,5.76,5.7,3.43,0.7,2777
201,3,4,2,61.3,58.0,5.71,5.68,3.49,0.7,2777
202,3,4,2,60.5,58.0,5.77,5.74,3.48,0.7,2777
203,1,4,3,64.1,59.0,5.64,5.59,3.6,0.7,2777
204,0,7,1,67.9,60.0,6.05,5.97,4.08,0.98,2777
205,3,5,2,62.4,58.0,5.83,5.8,3.63,0.78,2777
206,2,4,2,63.2,60.0,5.6,5.51,3.51,0.7,2777
207,4,5,6,61.3,55.0,5.19,5.22,3.19,0.52,2778
208,2,7,3,60.8,56.0,5.82,5.84,3.55,0.73,2779
209,4,4,2,61.7,56.0,5.84,5.8,3.59,0.74,2779
210,2,5,3,63.6,57.0,5.61,5.65,3.58,0.7,2780
211,3,6,3,61.2,58.0,5.9,5.93,3.62,0.77,2780
212,4,5,3,62.1,54.0,5.68,5.72,3.54,0.71,2780
213,4,6,4,61.5,55.0,5.81,5.86,3.59,0.74,2780
214,4,6,4,61.4,59.0,5.64,5.73,3.49,0.7,2780
215,3,5,0,61.8,60.0,6.39,6.36,3.94,1.01,2781
216,4,7,2,62.2,56.0,5.83,5.88,3.64,0.77,2781
217,4,7,2,61.2,56.0,5.92,5.99,3.64,0.78,2781
218,2,7,4,60.6,63.0,5.83,5.76,3.51,0.72,2782
219,2,3,5,57.5,64.0,5.34,5.37,3.08,0.53,2782
220,4,6,3,61.3,56.0,5.9,5.94,3.63,0.76,2782
221,1,4,4,57.2,62.0,5.81,5.77,3.31,0.7,2782
222,3,4,4,62.9,60.0,5.62,5.54,3.51,0.7,2782
223,2,3,1,63.1,58.0,5.78,5.73,3.63,0.75,2782
224,4,3,2,60.8,57.0,5.76,5.75,3.5,0.72,2782
225,3,3,2,62.7,59.0,5.73,5.69,3.58,0.72,2782
226,3,3,2,62.8,60.0,5.68,5.66,3.56,0.7,2782
227,0,6,2,55.1,67.0,6.39,6.2,3.47,0.84,2782
228,3,5,2,61.4,59.0,5.88,5.85,3.6,0.75,2782
229,4,5,7,62.2,55.0,5.14,5.18,3.21,0.52,2783
230,2,5,3,63.0,54.0,5.69,5.73,3.6,0.72,2784
231,2,7,4,63.7,56.0,5.85,5.92,3.75,0.79,2784
232,2,5,3,63.6,58.0,5.66,5.69,3.61,0.72,2787
233,4,5,6,62.0,57.0,5.11,5.15,3.18,0.51,2787
234,4,3,4,61.5,56.0,5.54,5.55,3.41,0.64,2787
235,2,7,6,60.5,60.0,5.74,5.77,3.48,0.7,2788
236,2,8,4,61.1,60.0,6.07,6.1,3.72,0.83,2788
237,4,8,5,61.8,56.0,5.85,5.87,3.62,0.76,2788
238,1,3,3,63.3,56.0,5.64,5.68,3.58,0.71,2788
239,1,6,4,59.4,64.0,5.97,5.92,3.53,0.77,2788
240,4,5,2,62.5,55.0,5.71,5.65,3.55,0.71,2788
241,0,4,0,64.5,58.0,6.29,6.21,4.03,1.01,2788
242,3,7,1,62.7,59.0,6.31,6.22,3.93,1.01,2788
243,1,5,2,64.2,52.0,5.81,5.77,3.72,0.77,2789
244,1,4,2,63.7,54.0,5.76,5.85,3.7,0.76,2789
245,3,4,2,60.4,58.0,5.92,5.94,3.58,0.76,2789
246,3,4,2,61.8,58.0,5.82,5.86,3.61,0.76,2789
247,2,9,1,63.2,56.0,6.49,6.45,4.09,1.05,2789
248,4,6,1,61.6,56.0,5.97,6.01,3.69,0.81,2789
249,4,4,2,61.6,56.0,5.72,5.75,3.53,0.7,2789
250,4,6,7,60.9,57.0,5.28,5.3,3.22,0.55,2789
251,1,6,1,61.0,61.0,5.94,5.99,3.64,0.81,2789
252,3,4,5,62.1,57.0,5.48,5.41,3.38,0.63,2789
253,3,4,6,60.9,60.0,5.55,5.52,3.37,0.63,2789
254,3,7,4,61.3,60.0,5.9,5.88,3.61,0.77,2789
255,0,9,1,65.8,59.0,6.41,6.27,4.18,1.05,2789
256,4,6,7,61.3,56.0,5.54,5.58,3.41,0.64,2790
257,3,8,6,58.8,59.0,6.0,5.94,3.51,0.76,2790
258,4,5,1,62.3,55.0,6.02,6.05,3.76,0.83,2790
259,3,5,4,60.1,62.0,5.77,5.74,3.46,0.71,2790
260,3,5,4,61.8,59.0,5.73,5.69,3.53,0.71,2790
261,2,8,2,63.6,55.8,6.07,6.1,3.87,0.87,2791
262,4,4,2,62.2,56.0,5.74,5.78,3.58,0.73,2791
263,3,4,2,59.2,59.0,5.83,5.86,3.46,0.71,2792
264,3,4,2,61.8,59.0,5.7,5.75,3.54,0.71,2792
265,4,4,2,61.3,55.0,5.72,5.77,3.52,0.71,2792
266,3,5,4,62.1,60.0,5.71,5.65,3.53,0.7,2792
267,3,5,4,60.7,60.0,5.78,5.75,3.5,0.7,2792
268,3,7,5,59.6,57.0,5.91,5.86,3.51,0.76,2792
269,4,5,4,62.2,56.0,5.73,5.68,3.55,0.7,2792
270,2,6,2,60.6,57.0,5.98,6.06,3.65,0.79,2793
271,2,4,3,62.9,57.0,5.66,5.69,3.57,0.7,2793
272,1,4,3,64.1,55.0,5.6,5.66,3.61,0.7,2793
273,4,8,3,61.3,56.0,5.87,5.91,3.61,0.76,2793
274,4,7,3,62.7,55.0,5.72,5.76,3.6,0.73,2793
275,2,4,2,63.2,56.0,5.91,5.86,3.72,0.79,2794
276,2,4,3,60.7,56.0,5.81,5.82,3.53,0.71,2795
277,3,8,5,61.9,60.0,5.91,5.86,3.64,0.81,2795
278,4,5,1,62.6,55.0,5.92,5.96,3.72,0.81,2795
279,1,5,4,60.7,60.0,5.74,5.72,3.48,0.72,2795
280,3,3,1,62.0,60.0,5.73,5.69,3.54,0.72,2795
281,3,8,7,63.0,57.0,5.72,5.7,3.6,0.72,2795
282,3,7,3,58.0,59.0,6.17,6.13,3.57,0.81,2795
283,3,6,3,62.9,57.0,5.73,5.65,3.58,0.72,2795
284,3,8,1,58.2,60.0,6.61,6.55,3.83,1.0,2795
285,1,4,2,63.2,58.0,5.7,5.76,3.62,0.73,2796
286,2,7,1,61.3,59.0,5.94,6.01,3.66,0.81,2797
287,2,4,2,60.3,60.0,6.07,6.1,3.67,0.81,2797
288,3,3,2,62.7,60.0,5.67,5.71,3.57,0.71,2797
289,3,3,2,61.3,58.0,5.73,5.75,3.52,0.71,2797
290,3,3,2,61.6,60.0,5.74,5.69,3.52,0.71,2797
291,4,5,5,61.9,55.0,5.34,5.35,3.31,0.57,2797
292,4,3,6,61.7,56.0,5.12,5.16,3.17,0.51,2797
293,4,6,3,61.9,58.0,5.72,5.75,3.55,0.72,2797
294,4,7,4,61.8,58.0,5.77,5.81,3.58,0.74,2797
295,4,7,4,61.6,56.0,5.81,5.82,3.58,0.74,2797
296,0,6,6,58.8,66.0,5.81,5.9,3.44,0.7,2797
297,3,5,1,61.0,57.0,6.03,6.01,3.67,0.8,2797
298,0,4,1,67.4,60.0,6.19,6.05,4.13,1.01,2797
299,2,7,3,63.4,60.0,5.92,5.82,3.72,0.8,2797
300,4,8,4,61.5,59.0,5.87,5.91,3.62,0.77,2798
301,2,4,1,58.0,62.0,6.19,6.25,3.61,0.83,2799
302,4,5,1,62.4,54.0,5.97,6.02,3.74,0.82,2799
303,4,3,2,61.9,57.0,5.91,5.86,3.64,0.78,2799
304,2,6,7,61.6,56.0,5.43,5.46,3.35,0.6,2800
305,1,8,1,62.2,59.0,6.07,6.11,3.79,0.9,2800
306,3,4,4,62.2,58.0,5.6,5.66,3.5,0.7,2800
307,2,8,1,61.3,56.0,6.17,6.23,3.8,0.9,2800
308,4,6,2,62.3,57.0,5.99,6.08,3.76,0.83,2800
309,4,6,2,61.8,57.0,6.03,6.07,3.74,0.83,2800
310,2,7,2,62.5,59.0,5.95,6.02,3.74,0.83,2800
311,3,6,4,62.9,60.0,5.74,5.68,3.59,0.74,2800
312,4,8,4,61.8,59.0,5.92,5.95,3.67,0.79,2800
313,4,6,7,62.3,56.0,5.43,5.45,3.39,0.61,2800
314,0,6,4,59.0,70.0,5.89,5.8,3.46,0.76,2800
315,4,5,0,60.7,55.0,6.37,6.41,3.88,0.96,2801
316,4,5,3,62.5,55.0,5.8,5.76,3.61,0.73,2801
317,3,5,3,62.7,58.0,5.76,5.7,3.59,0.73,2801
318,4,7,2,60.4,57.0,5.93,5.96,3.59,0.75,2801
319,3,5,3,62.1,58.0,5.7,5.67,3.53,0.71,2801
320,1,5,3,57.8,60.0,5.9,5.87,3.4,0.71,2801
321,1,5,3,63.8,58.0,5.64,5.61,3.59,0.71,2801
322,3,5,3,62.8,57.0,5.69,5.64,3.56,0.71,2801
323,3,6,0,62.2,58.0,6.46,6.41,4.0,1.04,2801
324,3,9,1,62.3,58.0,6.45,6.34,3.98,1.0,2801
325,2,6,1,59.9,58.0,6.19,6.23,3.72,0.87,2802
326,4,5,7,61.9,54.0,5.22,5.25,3.24,0.53,2802
327,3,4,3,63.0,55.0,5.79,5.61,3.59,0.72,2802
328,3,5,4,62.4,58.0,5.83,5.7,3.6,0.72,2802
329,2,5,3,62.9,58.0,5.63,5.65,3.55,0.7,2803
330,2,4,2,63.5,56.0,5.74,5.79,3.66,0.74,2803
331,4,6,3,61.3,56.0,5.75,5.71,3.51,0.71,2803
332,4,4,2,60.6,54.0,5.84,5.89,3.55,0.73,2803
333,1,6,4,65.1,58.0,5.56,5.59,3.63,0.7,2803
334,3,5,3,62.6,58.0,5.7,5.67,3.56,0.71,2803
335,3,5,3,58.0,62.0,5.85,5.81,3.38,0.71,2803
336,3,6,4,62.4,61.0,5.7,5.65,3.54,0.71,2803
337,3,6,3,61.3,57.0,5.93,5.88,3.62,0.77,2803
338,3,6,3,59.9,60.0,5.81,5.77,3.47,0.71,2803
339,3,6,3,60.8,58.0,6.03,5.95,3.64,0.78,2803
340,2,6,4,63.5,55.0,5.66,5.64,3.59,0.71,2803
341,4,3,1,62.2,57.0,6.21,6.15,3.85,0.91,2803
342,2,4,3,63.8,58.0,5.62,5.66,3.6,0.71,2804
343,2,4,3,64.0,57.0,5.66,5.68,3.63,0.71,2804
344,2,4,1,62.5,56.0,5.88,5.96,3.7,0.8,2804
345,2,3,2,62.3,58.0,5.69,5.73,3.56,0.7,2804
346,4,5,4,61.7,57.0,5.74,5.77,3.55,0.72,2804
347,2,5,4,62.2,58.0,5.75,5.7,3.56,0.72,2804
348,4,7,3,61.5,56.0,6.01,6.08,3.72,0.82,2804
349,4,3,2,61.0,59.0,5.68,5.7,3.47,0.7,2804
350,4,3,2,62.2,56.0,5.74,5.77,3.58,0.72,2804
351,4,3,2,61.5,54.0,5.77,5.8,3.56,0.72,2804
352,0,8,2,67.3,59.0,5.93,5.84,3.96,0.9,2804
353,3,5,3,61.7,58.0,5.85,5.78,3.59,0.74,2805
354,3,5,3,61.9,56.0,5.8,5.77,3.58,0.74,2805
355,4,4,1,61.8,58.0,5.77,5.81,3.58,0.73,2805
356,0,4,6,58.7,66.0,5.34,5.43,3.16,0.57,2805
357,3,5,3,62.5,57.0,5.75,5.7,3.58,0.73,2805
358,4,6,3,62.8,56.0,5.74,5.7,3.59,0.72,2805
359,0,5,3,61.1,68.0,5.82,5.75,3.53,0.74,2805
360,1,6,3,64.0,57.0,5.92,5.89,3.78,0.82,2805
361,2,6,2,62.5,60.0,5.89,5.94,3.69,0.81,2806
362,2,7,6,60.6,58.0,5.85,5.9,3.56,0.75,2806
363,4,5,2,61.6,55.0,5.72,5.74,3.53,0.7,2806
364,2,5,4,62.2,58.0,5.66,5.72,3.54,0.71,2807
365,2,5,4,60.0,57.0,5.84,5.9,3.52,0.71,2807
366,3,9,1,61.9,57.0,6.21,6.19,3.84,0.93,2807
367,2,7,3,62.8,57.0,5.87,5.91,3.7,0.8,2808
368,2,5,4,62.0,57.0,5.64,5.71,3.52,0.7,2808
369,0,6,0,66.4,59.0,6.16,6.09,4.07,1.0,2808
370,2,6,3,63.4,56.0,5.78,5.74,3.65,0.75,2808
371,4,4,5,60.9,56.0,5.41,5.43,3.3,0.58,2808
372,2,3,2,63.1,57.0,5.74,5.7,3.61,0.73,2808
373,2,5,2,63.1,59.0,5.85,5.79,3.67,0.81,2809
374,3,3,1,59.2,57.0,6.15,6.05,3.61,0.81,2809
375,3,5,2,60.7,54.0,5.84,5.8,3.53,0.71,2809
376,0,5,0,64.6,56.0,6.73,6.66,4.33,1.2,2809
377,2,5,4,61.8,56.0,5.63,5.7,3.5,0.7,2810
378,2,5,4,59.9,60.0,5.77,5.84,3.48,0.7,2810
379,4,3,1,61.7,55.0,5.81,5.85,3.6,0.74,2810
380,1,5,4,62.8,61.0,5.57,5.61,3.51,0.7,2810
381,1,6,2,62.7,57.0,5.84,5.93,3.69,0.8,2810
382,2,5,2,63.4,58.0,5.72,5.76,3.64,0.75,2811
383,2,3,2,63.5,54.0,5.98,5.95,3.79,0.83,2811
384,0,9,3,65.7,59.0,6.14,6.07,4.01,1.0,2811
385,0,8,1,68.1,56.0,6.21,6.06,4.18,0.99,2811
386,2,6,4,63.0,60.0,5.57,5.64,3.53,0.7,2812
387,2,5,3,59.5,58.0,5.75,5.85,3.45,0.7,2812
388,1,4,2,63.5,59.0,5.49,5.53,3.5,0.7,2812
389,2,5,3,61.7,58.0,5.63,5.69,3.49,0.7,2812
390,3,8,2,62.7,58.0,4.37,4.34,2.73,0.32,554
391,3,8,2,62.8,58.0,4.39,4.34,2.74,0.32,554
392,4,8,2,62.4,57.0,4.37,4.35,2.72,0.32,554
393,3,8,2,61.0,59.0,4.39,4.36,2.67,0.32,554
394,2,8,2,63.1,56.0,4.39,4.36,2.76,0.32,554
395,4,8,2,60.7,57.0,4.47,4.42,2.7,0.32,554
396,3,7,2,60.9,59.0,4.31,4.29,2.62,0.3,554
397,3,7,2,60.1,55.0,4.41,4.38,2.64,0.3,554
398,3,7,2,62.9,58.0,4.28,4.24,2.68,0.3,554
399,2,7,2,63.3,56.0,4.29,4.27,2.71,0.3,554
400,1,7,2,63.8,55.0,4.26,4.2,2.7,0.3,554
